date,sentiment_index
2023-01-01,0.2193183673469388
2023-01-02,0.27959772727272725
2023-01-03,0.20938588235294117
2023-01-04,0.26869444444444446
2023-01-05,0.20096913580246914
2023-01-06,0.13645000000000002
2023-01-07,0.1323561403508772
2023-01-08,0.18971739130434784
2023-01-09,0.3717804347826087
2023-01-10,0.2070865168539326
2023-01-11,0.3047425
2023-01-12,0.3924901960784314
2023-01-13,0.3017476744186046
2023-01-14,0.4248386363636364
2023-01-15,0.09274761904761905
2023-01-16,0.3425505882352941
2023-01-17,0.24178245614035088
2023-01-18,0.1830282051282051
2023-01-19,0.25557444444444444
2023-01-20,0.20836166666666667
2023-01-21,0.29302881355932203
2023-01-22,0.298842
2023-01-23,0.39563333333333334
2023-01-24,0.4131791208791209
2023-01-25,0.2955925925925926
2023-01-26,0.21060135135135136
2023-01-27,0.37148795180722893
2023-01-28,0.2054642857142857
2023-01-29,0.16997906976744187
2023-01-30,0.3279289156626506
2023-01-31,0.4594071428571429
2023-02-01,0.3780857142857143
2023-02-02,0.15558313253012046
2023-02-03,0.30872727272727274
2023-02-04,0.166721875
2023-02-05,0.23947118644067797
2023-02-06,0.3336978723404255
2023-02-07,0.29796923076923076
2023-02-08,0.27591607142857144
2023-02-09,0.1912418918918919
2023-02-10,0.3536095238095238
2023-02-11,0.2872045454545455
2023-02-12,0.18238636363636365
2023-02-13,0.2750901960784314
2023-02-14,0.37842317073170734
2023-02-15,0.31534333333333336
2023-02-16,0.4165190476190476
2023-02-17,0.20208354430379746
2023-02-18,0.181566
2023-02-19,0.144425
2023-02-20,0.2971450980392157
2023-02-21,0.2218551282051282
2023-02-22,0.16937017543859648
2023-02-23,0.3035777777777778
2023-02-24,0.21715263157894737
2023-02-25,0.28034444444444445
2023-02-26,0.1380488888888889
2023-02-27,0.19195098039215686
2023-02-28,0.28994444444444445
2023-03-01,0.387415
2023-03-02,0.22769285714285717
2023-03-03,0.20226823529411764
2023-03-04,0.2165549019607843
2023-03-05,0.053392
2023-03-06,0.1821087912087912
2023-03-07,0.40757027027027026
2023-03-08,0.3242919354838709
2023-03-09,0.1602010752688172
2023-03-10,0.20312075471698113
2023-03-11,-0.06237301587301587
2023-03-12,-0.08582575757575758
2023-03-13,0.08408510638297872
2023-03-14,0.02358817204301075
2023-03-15,0.22468000000000002
2023-03-16,0.2997432098765432
2023-03-17,0.3462013698630137
2023-03-18,0.19103921568627452
2023-03-19,0.26540434782608696
2023-03-20,0.20012000000000002
2023-03-21,0.27498064516129034
2023-03-22,0.39110740740740746
2023-03-23,0.32024096385542167
2023-03-24,0.28093114754098364
2023-03-25,0.059075471698113204
2023-03-26,0.20106727272727273
2023-03-27,0.1661949152542373
2023-03-28,0.16489468085106382
2023-03-29,0.12839433962264152
2023-03-30,0.22905243902439024
2023-03-31,0.436772
2023-04-01,0.2966101694915254
2023-04-02,0.3138711538461539
2023-04-03,0.23726590909090908
2023-04-04,0.3721618421052632
2023-04-05,0.34407843137254907
2023-04-06,0.31231123595505617
2023-04-07,0.3437958333333333
2023-04-08,0.14700000000000002
2023-04-09,0.32096046511627907
2023-04-10,0.2647865671641791
2023-04-11,0.3420077777777778
2023-04-12,0.32223563218390805
2023-04-13,0.3866840579710145
2023-04-14,0.4151790322580645
2023-04-15,0.2517
2023-04-16,0.008910869565217387
2023-04-17,0.3070964912280702
2023-04-18,0.3842527472527472
2023-04-19,0.4107576086956522
2023-04-20,0.3557972222222222
2023-04-21,0.3423666666666667
2023-04-22,0.24605757575757575
2023-04-23,0.15382923076923075
2023-04-24,0.3002179104477612
2023-04-25,0.3127521739130435
2023-04-26,0.32030111111111115
2023-04-27,0.3581261363636364
2023-04-28,0.405636231884058
2023-04-29,0.25010535714285714
2023-04-30,0.31316829268292684
2023-05-01,0.2871282608695652
2023-05-02,0.3578709677419355
2023-05-03,0.16144040404040405
2023-05-04,0.2409375
2023-05-05,0.06739454545454546
2023-05-06,0.24214225352112675
2023-05-07,0.09565000000000001
2023-05-08,0.2788516129032258
2023-05-09,0.31181086956521736
2023-05-10,0.30105375
2023-05-11,0.25511346153846154
2023-05-12,0.2069659090909091
2023-05-13,0.3030602564102564
2023-05-14,0.2936053571428571
2023-05-15,0.42471304347826083
2023-05-16,0.4206977777777778
2023-05-17,0.3900697368421053
2023-05-18,0.34417966101694913
2023-05-19,0.36744117647058827
2023-05-20,0.3181583333333334
2023-05-21,0.16251509433962266
2023-05-22,0.3479352112676057
2023-05-23,0.4008978260869565
2023-05-24,0.35988222222222227
2023-05-25,0.3747347368421053
2023-05-26,0.2752242424242424
2023-05-27,0.3644049180327869
2023-05-28,0.2403354166666667
2023-05-29,0.37596551724137933
2023-05-30,0.3207
2023-05-31,0.243910447761194
2023-06-01,0.4922861538461538
2023-06-02,0.42521477272727276
2023-06-03,0.3985810344827586
2023-06-04,0.1702126984126984
2023-06-05,0.25430545454545456
2023-06-06,0.2769774193548387
2023-06-07,0.2937011111111111
2023-06-08,0.31611
2023-06-09,0.2483014705882353
2023-06-10,0.2940269230769231
2023-06-11,0.15484032258064515
2023-06-12,0.24364000000000002
2023-06-13,0.3705655737704918
2023-06-14,0.35420833333333335
2023-06-15,0.37460344827586206
2023-06-16,0.3743835164835165
2023-06-17,0.3594145833333333
2023-06-18,0.47356617647058824
2023-06-19,0.2328532258064516
2023-06-20,0.4432422222222222
2023-06-21,0.5279233333333333
2023-06-22,0.5010864864864865
2023-06-23,0.48020615384615384
2023-06-24,0.23472686567164178
2023-06-25,0.439834375
2023-06-26,0.42604725274725275
