,Total Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Equal Weight,0.06177570849060521,0.47701790933479926,0.4874980150552444,-0.2091369497053516
Sentiment Weighted,0.07508854555932043,0.49182124344259454,0.536512646309104,-0.20992587368048657
